,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
0,34_7,Real,6.564644621716913,8.39272779366825,"[0.7438657954350708, 0.27755256350513774, 0]","[Client id: 34, ( id: 9, corrupt: False ), Client id: 81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,13_2,Real,0.5262686540166566,8.39272779366825,"[0.05669291883077917, 0.2529934301732539, 0]","[Client id: 13, ( id: 9, corrupt: False ), Client id: 60]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,36_12,Real,7.102361432523831,8.39272779366825,"[0.5294397286757431, 0.4975651682063714, 0]","[Client id: 36, ( id: 9, corrupt: False ), Client id: 69]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,94_8,Real,7.999780665322135,8.39272779366825,"[2.225336922887589, 0.21952024415184512, 0]","[Client id: 94, ( id: 9, corrupt: False ), Client id: 46]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,90_3,Real,2.9414536107893476,8.39272779366825,"[0.11350228077110094, 0.2980388138174592, 0]","[Client id: 90, ( id: 9, corrupt: False ), Client id: 89]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,74_8,Real,7.766324205264261,8.39272779366825,"[0.2615767932729221, 3.0178405547824774, 0]","[Client id: 74, ( id: 9, corrupt: False ), Client id: 91]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,82_8,Real,7.208869006888353,8.39272779366825,"[0.4257578851024114, 0.12047922252373973, 0]","[Client id: 82, ( id: 9, corrupt: False ), Client id: 80]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,87_10,Real,3.242770197212216,8.39272779366825,"[1.2034378779730144, 1.3348944354020784, 0]","[Client id: 87, ( id: 9, corrupt: False ), Client id: 53]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,16_4,Real,2.7751134142725054,8.39272779366825,"[0.8145529725766133, 0.765686531508728, 0]","[Client id: 16, ( id: 9, corrupt: False ), Client id: 77]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,95_12,Real,6.231831022801167,8.39272779366825,"[1.0267583112280187, 1.8894652217153856, 0]","[Client id: 95, ( id: 9, corrupt: False ), Client id: 81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,95_14,Real,7.5723056772083215,8.518197455906064,"[1.2845220907212487, 0.7057576988340156, 0]","[Client id: 95, ( id: 7, corrupt: False ), Client id: 57]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,30_3,Real,3.5949242898189113,8.518197455906064,"[1.4248234909084552, 0.6432339295305248, 0]","[Client id: 30, ( id: 7, corrupt: False ), Client id: 65]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
12,15_3,Real,6.567783586647602,8.518197455906064,"[3.7648013648893204, 3.1322072077034533, 0]","[Client id: 15, ( id: 7, corrupt: False ), Client id: 53]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
13,70_2,Real,3.1774876958369616,8.518197455906064,"[2.110224072415075, 0.06546703409542083, 0]","[Client id: 70, ( id: 7, corrupt: False ), Client id: 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,55_8,Real,6.669082052713582,8.518197455906064,"[1.6887366769340881, 0.023231206338203518, 0]","[Client id: 55, ( id: 7, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
15,61_5,Real,3.3798020781754388,8.518197455906064,"[0.16119363641742296, 0.11558266251558326, 0]","[Client id: 61, ( id: 7, corrupt: False ), Client id: 78]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
16,94_5,Real,3.7715272498485057,8.518197455906064,"[0.6312707364751202, 0.14743384145731478, 0]","[Client id: 94, ( id: 7, corrupt: False ), Client id: 58]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,42_3,Real,2.976955777243231,8.518197455906064,"[1.3606510397101235, 1.127027614986223, 0]","[Client id: 42, ( id: 7, corrupt: False ), Client id: 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
18,5_9,Real,8.323344458325993,8.518197455906064,"[2.5083461841554855, 0.43017233785937764, 0]","[Client id: 5, ( id: 7, corrupt: False ), Client id: 57]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
